,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,SAS,Victor Wembanyama,,1,71,2106,1522,755,274,.465,.325,.796,29.7,21.4,10.6,3.9,3.7,.085,5.2,3.8
2,2,CHO,Brandon Miller,Alabama,1,74,2383,1279,315,175,.440,.373,.827,32.2,17.3,4.3,2.4,0.8,.015,-2.6,-0.3
3,3,POR,Scoot Henderson,,1,62,1765,868,194,336,.385,.325,.819,28.5,14.0,3.1,5.4,-1.7,-.045,-5.8,-1.7
4,4,HOU,Amen Thompson,,1,62,1388,592,409,163,.536,.138,.684,22.4,9.5,6.6,2.6,4.3,.149,1.8,1.3
5,5,DET,Ausar Thompson,,1,63,1583,556,402,120,.483,.186,.597,25.1,8.8,6.4,1.9,1.8,.053,-2.2,-0.1
6,6,ORL,Anthony Black,Arkansas,1,69,1164,316,139,91,.466,.394,.613,16.9,4.6,2.0,1.3,1.6,.067,-3.0,-0.3
7,7,IND,Bilal Coulibaly,,1,63,1715,532,256,110,.435,.346,.702,27.2,8.4,4.1,1.7,0.4,.013,-4.2,-0.9
8,8,WAS,Jarace Walker,Houston,1,33,340,120,63,40,.409,.400,.889,10.3,3.6,1.9,1.2,0.4,.058,0.2,0.2
9,9,UTA,Taylor Hendricks,Central Florida,1,40,856,292,185,32,.450,.379,.793,21.4,7.3,4.6,0.8,1.2,.070,-1.6,0.1
10,10,DAL,Cason Wallace,Kentucky,1,82,1692,561,187,120,.491,.419,.784,20.6,6.8,2.3,1.5,4.0,.115,0.1,0.9
11,11,ORL,Jett Howard,Michigan,1,18,67,29,7,6,.333,.280,.500,3.7,1.6,0.4,0.3,0.0,.005,-1.8,0.0
12,12,OKC,Dereck Lively II,Duke,1,55,1294,483,378,60,.747,.000,.506,23.5,8.8,6.9,1.1,4.9,.183,0.5,0.8
13,13,TOR,Gradey Dick,Kansas,1,60,1268,510,132,68,.425,.365,.863,21.1,8.5,2.2,1.1,0.3,.010,-5.4,-1.1
14,14,NOP,Jordan Hawkins,UConn,1,67,1160,524,148,70,.382,.366,.838,17.3,7.8,2.2,1.0,1.3,.053,-3.1,-0.3