state,endorsements,appearances,social_media,product_promotion,nfts
Michigan,NA,NA,NA,NA,NA
Delaware,Y,Y,Y,Y,N
Mississippi,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
Texas,NA,NA,NA,NA,NA
Montana,NA,NA,NA,NA,NA
Alabama,NA,NA,NA,NA,NA
Kentucky,Y,Y,Y,Y,N
Hawaii,NA,NA,NA,NA,NA
New York,Y,Y,Y,Y,N
Nebraska,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
Maine,Y,Y,Y,Y,N
Georgia,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
Minnesota,Y,Y,Y,Y,N
Lousiana,Y,Y,Y,Y,N
Idaho,Y,Y,Y,Y,N
Washington,Y,Y,N,N,N
Maryland,Y,Y,Y,Y,Y
Florida,Y,N,Y,Y,N
Missouri,Y,Y,Y,Y,N
Alaska,Y,Y,Y,Y,N
South Carolina,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
Washington DC,Y,Y,N,Y,N
New Hampshire,Y,Y,Y,Y,N
Massachusetts,Y,Y,Y,Y,Y
Arkansas,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
Illinois,Y,Y,Y,Y,N
Oregon,Y,Y,Y,Y,N
Nevada,Y,Y,Y,Y,N
West Virginia,NA,NA,NA,NA,NA
Virginia,Y,Y,Y,Y,N
Iowa,Y,Y,Y,Y,N
New Jersey,Y,Y,Y,N,N
Arizona,Y,Y,Y,Y,N
Rhode Island,Y,N,N,N,N
Kansas,N,N,N,N,N
Connecticut,Y,N,Y,Y,N
North Dakota,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
New Mexico,Y,Y,Y,Y,N
Pennsylvania,Y,Y,Y,Y,N
California,Y,Y,Y,Y,N
Colorado,Y,Y,Y,Y,N
Wyoming,NA,NA,NA,NA,NA
South Dakota,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
Oklahoma,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
North Carolina (Public),Y,Y,Y,Y,N
North Carolina (Private),Y,Y,Y,Y,N
Wisconsin,NA,NA,NA,NA,NA
Ohio,NA,NA,NA,NA,NA
Indiana,NA,NA,NA,NA,NA
Tennessee,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
Utah,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
Vermont,Y,Y,Y,Y,Y